單字,假名,中文,程度,例句
ああ,ああ,Ah!,N5,
会う,あう,to meet,N5,
青,あお,blue,N5,
青い,あおい,blue,N5,
赤,あか,red,N5,
赤い,あかい,red,N5,
明るい,あかるい,bright (in reference to personality or weather); cheerful,N5,
秋,あき,fall (season),N5,
開く,あく,to open,N5,
開ける,あける,to open (v.t.),N5,
上げる,あげる,to raise,N5,
朝,あさ,morning,N5,
朝御飯,あさごはん,breakfast,N5,
明後日,あさって,day after tomorrow,N5,
足; 脚,あし,foot; leg,N5,
明日,あした,tomorrow,N5,
あそこ,あそこ,there,N5,
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,N5,
暖かい,あたたかい,warm,N5,
頭,あたま,head,N5,
新しい,あたらしい,new,N5,
あちら,あちら,this way (polite),N5,
暑い,あつい,hot (in reference to weather),N5,
熱い,あつい,hot (objects),N5,
厚い,あつい,kind,N5,
あっち,あっち,over there,N5,
後,あと,afterwards (later); in the future; the rest; since then,N5,
あなた,あなた,you,N5,
兄,あに,(my) older brother (humble),N5,
姉,あね,(my) older sister (humble),N5,
アパート,アパート,apartment (abbr.),N5,
あの,あの,that over there; like that,N5,
浴びる,あびる,to bathe,N5,
危ない,あぶない,dangerous,N5,
甘い,あまい,generous,N5,
余り,あまり,not very; surplus,N5,
雨,あめ,rain,N5,
飴,あめ,(hard) candy,N5,
洗う,あらう,to wash,N5,
在る,ある,to be,N5,
有る,ある,to be,N5,
歩く,あるく,to walk,N5,
あれ,あれ,that one (over there),N5,
いい; よい,いい; よい,good,N5,
いいえ,いいえ,no,N5,
言う,いう,to say,N5,
家,いえ,house,N5,
いかが,いかが,how,N5,
行く,いく; ゆく,to go,N5,
いくつ,いくつ,how many,N5,
いくら,いくら,how much,N5,
池,いけ,pond,N5,
医者,いしゃ,doctor; physician,N5,
椅子,いす,chair,N5,
忙しい,いそがしい,busy (people,N5,
痛い,いたい,hurt; painful; sore,N5,
一,いち,one,N5,
一日,いちにち,one day (duration),N5,
一番,いちばん,best (most),N5,
いつ,いつ,when,N5,
五日,いつか,five days; fifth day of the month,N5,
一緒,いっしょ,together,N5,
五つ,いつつ,five things,N5,
いつも,いつも,always,N5,
犬,いぬ,dog,N5,
今,いま,now,N5,
意味,いみ,meaning,N5,
妹,いもうと,younger sister (humble),N5,
嫌,いや,disagreeable,N5,
入口,いりぐち,entrance,N5,
居る,いる,(humble) to be (animate),N5,
要る,いる,to need,N5,
入れる,いれる,to put in,N5,
色,いろ,color,N5,
色々,いろいろ,various,N5,
上,うえ,above (up,N5,
後ろ,うしろ,back,N5,
薄い,うすい,thin,N5,
歌,うた,a song,N5,
歌う,うたう,to sing,N5,
うち,うち,home; house; my place,N5,
生まれる,うまれる,to be born,N5,
海,うみ,sea,N5,
売る,うる,to sell (v.t.),N5,
うるさい,うるさい,noisy; annoying,N5,
上着,うわぎ,coat,N5,
絵,え,a painting; a picture; a drawing,N5,
映画,えいが,movie,N5,
映画館,えいがかん,movie theater,N5,
英語,えいご,English (language),N5,
ええ,ええ,yes,N5,
駅,えき,station,N5,
エレベーター,エレベーター,elevator,N5,
～円,～えん,Yen,N5,
鉛筆,えんぴつ,pencil,N5,
お～,お～,honorable ~ (honorific),N5,
美味しい,おいしい,delicious,N5,
多い,おおい,many; there are a lot,N5,
大きい,おおきい,big,N5,
大きな,おおきな,big,N5,
大勢,おおぜい,great number of people,N5,
お母さん,おかあさん,mother (formal),N5,
お菓子,おかし,confections,N5,
お金,おかね,money,N5,
起きる,おきる,to get up (e.g.,N5,
置く,おく,to put; to lay; to place,N5,
奥さん,おくさん,(someone else's) wife (hon.),N5,
お酒,おさけ,sake; alcohol,N5,
お皿,おさら,plate,N5,
伯父; 叔父さん,おじさん,uncle,N5,
おじいさん,おじいさん,grandfather,N5,
教える,おしえる,to teach,N5,
押す,おす,to push,N5,
遅い,おそい,slow; (to be) late,N5,
お茶,おちゃ,(green) tea,N5,
お手洗い,おてあらい,toilet,N5,
お父さん,おとうさん,father (formal),N5,
弟,おとうと,younger brother,N5,
男,おとこ,man,N5,
男の子,おとこのこ,boy,N5,
一昨日,おととい,the day before yesterday,N5,
おととし,おととし,year before last,N5,
大人,おとな,adult,N5,
お腹,おなか,stomach,N5,
同じ,おなじ,same,N5,
